EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
26,39,Female,Finance,Married,Sales Rep,Sales Rep,Rarely,27,College,5,72,1,4,5,8,No,23,5,5,2,4,5,5,4,9,No,2
27,28,Male,HR,Divorced,Marketer,Marketer,Rarely,22,Bachelor,5,66,4,5,5,2,Yes,24,1,6,3,4,6,6,3,1,Yes,2
28,29,Male,HR,Divorced,Analyst,Analyst,Rarely,1,Master,4,77,3,3,3,7,Yes,19,2,3,4,4,3,3,7,6,No,4
29,26,Female,Finance,Divorced,Analyst,Analyst,Frequently,29,Doctor,2,75,1,2,5,2,Yes,15,1,6,0,3,6,6,8,7,No,5
30,32,Female,Finance,Divorced,Analyst,Analyst,Rarely,30,Bachelor,5,78,2,3,1,4,Yes,16,2,7,2,5,7,7,5,7,Yes,4
31,34,Male,Finance,Divorced,Manager,Manager,Frequently,13,Doctor,4,47,1,2,4,6,No,18,4,17,0,2,17,17,5,1,No,5
32,46,Female,Marketing,Divorced,Sales Rep,Sales Rep,Frequently,17,Master,1,22,4,4,5,2,No,24,1,2,4,5,2,2,7,8,No,3
33,49,Male,Finance,Married,Analyst,Analyst,Rarely,28,College,3,55,3,4,4,5,No,14,2,8,5,5,8,8,4,4,Yes,3
34,51,Female,Other,Married,Marketer,Marketer,Rarely,7,Master,4,48,2,1,2,4,Yes,17,1,4,1,3,4,4,8,2,No,3
35,48,Female,HR,Single,Analyst,Analyst,Rarely,21,Doctor,1,55,4,1,4,5,No,16,5,3,1,5,3,3,3,3,No,3
36,26,Male,Other,Single,Analyst,Analyst,Rarely,20,High School,3,42,2,5,3,3,Yes,22,3,5,3,3,5,5,10,1,No,3
37,58,Male,Finance,Divorced,Engineer,Developer,Frequently,24,High School,4,47,4,2,4,7,No,14,3,7,1,4,7,7,0,3,Yes,4
38,36,Male,HR,Married,Marketer,Marketer,Occasionally,1,Doctor,2,70,3,2,1,7,Yes,19,3,2,4,5,2,2,7,8,Yes,2
39,58,Female,Marketing,Married,Sales Rep,Sales Manager,Frequently,17,Doctor,5,29,1,2,3,1,Yes,24,2,2,4,3,2,2,3,5,No,2
40,57,Female,Marketing,Married,Engineer,Engineer,Occasionally,16,Master,2,31,1,4,1,1,Yes,18,1,8,1,5,8,8,4,5,Yes,4
41,44,Male,Other,Single,Marketer,Marketer,Occasionally,18,Bachelor,2,26,4,2,1,3,No,15,5,5,2,2,5,5,1,7,Yes,3
42,34,Female,Finance,Divorced,Engineer,Developer,Rarely,18,College,1,79,4,2,4,0,Yes,23,3,6,1,4,6,6,6,1,Yes,4
43,33,Male,HR,Single,Marketer,Marketing Manager,Rarely,13,College,4,69,2,4,3,5,No,24,2,7,2,4,7,7,3,2,Yes,2
44,53,Male,Finance,Married,Analyst,Analyst,Rarely,18,Bachelor,3,25,2,4,3,2,Yes,18,1,6,4,4,6,6,5,7,No,3
45,48,Female,HR,Married,Engineer,Developer,Occasionally,24,College,1,67,2,2,5,4,Yes,21,3,10,3,1,10,10,10,2,Yes,3
46,32,Male,HR,Divorced,Manager,Team Leader,Rarely,5,High School,5,70,4,2,4,0,No,19,4,13,1,5,13,13,4,4,Yes,5
47,60,Female,HR,Divorced,Manager,Team Leader,Rarely,17,Bachelor,2,60,1,5,5,2,Yes,18,3,5,3,3,5,5,5,6,Yes,4
48,53,Male,Other,Single,Sales Rep,Sales Manager,Rarely,17,College,3,59,1,5,2,3,No,15,4,2,4,2,2,2,5,1,Yes,2
49,30,Female,Technical,Divorced,Marketer,Marketing Manager,Occasionally,1,Master,1,78,3,4,5,7,No,16,1,1,4,2,1,1,5,2,No,4
50,42,Male,Marketing,Married,Engineer,Developer,Occasionally,25,Master,3,38,1,5,5,3,No,13,1,3,2,4,3,3,3,2,No,3
51,50,Female,Finance,Single,Analyst,Data Analyst,Rarely,11,Doctor,4,67,1,4,5,2,No,13,4,3,5,3,3,3,6,7,No,3
52,29,Male,Technical,Married,Manager,Team Leader,Frequently,21,Master,3,28,1,5,1,0,Yes,25,1,15,3,5,15,15,2,6,Yes,4
53,54,Female,Marketing,Married,Marketer,Marketing Manager,Occasionally,23,High School,5,65,4,5,5,0,Yes,18,5,6,3,3,6,6,4,2,No,4
54,32,Female,Other,Single,Manager,Manager,Occasionally,11,Master,1,72,4,4,1,5,Yes,10,1,6,1,4,6,6,9,8,Yes,5
55,47,Male,Marketing,Single,Sales Rep,Sales Rep,Occasionally,13,Doctor,5,64,4,4,4,1,Yes,16,2,3,1,4,3,3,4,6,Yes,3
56,45,Female,Other,Single,Analyst,Data Analyst,Frequently,10,Bachelor,1,63,3,4,1,6,Yes,16,1,5,2,4,5,5,1,2,No,3
57,44,Female,Other,Single,Sales Rep,Sales Manager,Rarely,2,High School,3,51,3,5,4,1,No,16,4,5,0,3,5,5,5,1,No,3
58,46,Female,Technical,Single,Engineer,Developer,Frequently,10,Bachelor,4,26,2,2,3,0,Yes,20,3,4,2,3,4,4,6,4,Yes,3
59,32,Female,Technical,Married,Engineer,Engineer,Rarely,3,Master,5,20,2,1,2,4,No,16,2,10,4,1,10,10,1,3,No,4
60,58,Female,Marketing,Married,Marketer,Marketer,Occasionally,10,Master,2,28,4,5,4,7,No,19,2,1,1,4,1,1,6,4,Yes,4
61,59,Female,Technical,Single,Engineer,Engineer,Rarely,4,College,1,42,2,1,1,7,Yes,23,1,9,2,1,9,9,8,5,No,3
62,55,Male,Technical,Married,Engineer,Developer,Occasionally,24,College,5,75,2,4,2,4,No,12,2,7,0,3,7,7,8,2,No,4
63,54,Female,HR,Single,Analyst,Analyst,Frequently,21,Master,4,25,2,2,2,6,Yes,18,5,2,3,4,2,2,1,6,No,4
64,37,Male,Finance,Divorced,Marketer,Marketing Manager,Frequently,20,Doctor,3,26,1,3,1,0,Yes,10,5,6,4,2,6,6,5,10,No,3
65,28,Male,Marketing,Married,Analyst,Analyst,Frequently,8,High School,1,24,3,2,5,0,No,25,3,6,0,5,6,6,1,7,No,3
66,58,Male,HR,Single,Analyst,Analyst,Occasionally,9,College,5,25,3,2,5,2,No,14,5,4,0,2,4,4,2,6,Yes,3
67,24,Female,HR,Married,Manager,Manager,Rarely,28,Doctor,1,49,4,5,5,6,Yes,20,1,6,4,3,6,6,2,3,No,5
68,60,Female,Other,Married,Manager,Team Leader,Frequently,6,Master,1,50,1,4,1,5,No,21,4,15,3,2,15,15,5,9,No,5
69,29,Male,HR,Married,Marketer,Marketer,Occasionally,10,Doctor,4,53,4,2,2,3,Yes,25,5,1,3,3,1,1,5,5,Yes,2
70,32,Male,Technical,Single,Engineer,Engineer,Rarely,27,Doctor,5,48,3,4,1,7,Yes,15,5,7,4,3,7,7,0,10,Yes,4
71,55,Male,Technical,Divorced,Engineer,Engineer,Occasionally,27,High School,1,63,4,3,4,7,Yes,25,1,3,4,4,3,3,9,4,No,4
72,54,Male,HR,Single,Analyst,Analyst,Frequently,12,High School,4,76,1,4,4,7,No,18,5,2,5,2,2,2,5,4,No,5
73,47,Female,Other,Single,Analyst,Data Analyst,Frequently,12,College,5,49,1,2,3,3,Yes,21,2,2,0,4,2,2,10,7,Yes,4
74,46,Male,Marketing,Divorced,Manager,Team Leader,Occasionally,11,High School,2,49,3,2,4,7,Yes,20,2,12,4,3,12,12,8,6,Yes,5
75,60,Female,Technical,Single,Sales Rep,Sales Manager,Rarely,16,College,5,40,1,4,4,7,No,19,4,5,1,1,5,5,8,10,Yes,3
76,23,Male,Marketing,Single,Marketer,Marketing Manager,Frequently,6,Doctor,3,20,2,5,1,2,Yes,15,5,1,1,2,1,1,10,5,No,3
77,51,Female,HR,Single,Sales Rep,Sales Manager,Occasionally,17,High School,2,47,2,3,1,4,No,18,4,3,4,5,3,3,0,7,No,3
78,57,Female,HR,Single,Sales Rep,Sales Rep,Occasionally,27,Master,4,51,2,1,5,7,No,15,2,2,5,3,2,2,6,7,Yes,2
79,44,Male,Technical,Married,Sales Rep,Sales Rep,Rarely,19,Master,3,33,1,1,2,8,Yes,23,2,3,2,1,3,3,7,5,No,3
80,43,Male,Technical,Single,Analyst,Data Analyst,Occasionally,11,Master,2,74,4,1,2,1,Yes,15,1,6,2,1,6,6,5,6,Yes,5
81,47,Male,Other,Married,Sales Rep,Sales Rep,Frequently,3,Doctor,1,51,2,3,4,2,Yes,16,1,5,2,2,5,5,2,4,Yes,3
82,51,Female,Marketing,Married,Sales Rep,Sales Rep,Rarely,1,College,4,75,4,2,1,6,Yes,13,2,2,2,2,2,2,7,3,No,2
83,34,Male,Technical,Married,Sales Rep,Sales Manager,Frequently,5,Master,3,49,4,4,1,4,No,23,1,4,1,5,4,4,6,10,No,3
84,50,Female,Other,Single,Marketer,Marketing Manager,Frequently,17,High School,2,43,3,3,2,6,No,25,5,3,0,1,3,3,4,6,Yes,3
85,27,Male,Finance,Single,Analyst,Analyst,Frequently,25,High School,3,74,2,2,4,6,Yes,13,4,5,1,4,5,5,10,6,Yes,5
86,34,Male,Technical,Single,Engineer,Developer,Rarely,8,High School,2,21,4,2,2,2,No,16,4,10,3,2,10,10,0,7,Yes,3
87,32,Female,Marketing,Married,Analyst,Data Analyst,Rarely,15,Doctor,3,43,3,5,3,2,No,19,5,5,3,2,5,5,4,2,No,5
88,40,Female,Technical,Single,Sales Rep,Sales Manager,Rarely,12,Master,2,21,2,4,2,5,Yes,11,2,1,3,3,1,1,2,5,No,3
89,49,Male,Finance,Married,Sales Rep,Sales Rep,Frequently,3,Doctor,3,61,4,4,1,3,Yes,23,5,1,1,2,1,1,10,2,No,3
90,47,Male,HR,Single,Sales Rep,Sales Rep,Frequently,8,Master,3,66,4,5,4,7,Yes,10,1,4,3,3,4,4,3,7,No,2
91,50,Male,Other,Married,Marketer,Marketer,Rarely,8,Doctor,1,80,4,3,3,2,No,22,5,3,0,5,3,3,9,3,Yes,4
92,47,Male,HR,Married,Sales Rep,Sales Rep,Rarely,22,Doctor,4,74,4,4,5,4,Yes,17,3,2,2,2,2,2,8,3,No,2
93,24,Male,HR,Single,Sales Rep,Sales Rep,Frequently,8,College,4,41,3,4,5,0,No,12,1,3,2,3,3,3,1,6,Yes,3
94,41,Female,Technical,Single,Marketer,Marketer,Occasionally,25,Doctor,4,39,4,3,5,2,Yes,18,4,1,5,5,1,1,6,8,No,2
95,39,Female,Finance,Married,Sales Rep,Sales Rep,Rarely,28,Master,3,61,2,3,1,2,No,14,3,4,2,3,4,4,8,1,Yes,3
96,52,Male,Marketing,Divorced,Manager,Team Leader,Rarely,30,Doctor,3,77,3,2,5,8,No,21,2,9,5,3,9,9,8,7,No,4
97,29,Male,Marketing,Divorced,Manager,Team Leader,Frequently,10,Bachelor,3,22,4,4,1,2,Yes,13,5,8,5,4,8,8,9,1,No,5
98,38,Male,Finance,Divorced,Sales Rep,Sales Manager,Frequently,11,Master,5,28,3,3,2,0,Yes,15,3,1,4,5,1,1,4,3,No,3
99,37,Female,Other,Single,Manager,Team Leader,Rarely,2,Master,2,60,3,4,2,0,No,11,2,14,2,5,14,14,10,3,Yes,4
100,35,Female,Technical,Divorced,Analyst,Analyst,Occasionally,1,High School,3,72,3,5,5,3,No,10,3,3,3,3,3,3,2,3,Yes,3
101,33,Male,Technical,Divorced,Analyst,Data Analyst,Frequently,7,College,5,68,3,3,4,3,No,21,2,2,2,5,2,2,8,8,No,5
102,53,Female,Technical,Single,Engineer,Engineer,Occasionally,25,Master,4,53,2,2,5,4,No,21,2,4,0,2,4,4,4,10,No,4
103,24,Female,Marketing,Married,Engineer,Engineer,Frequently,9,Doctor,3,31,3,5,5,0,Yes,17,1,8,4,1,8,8,1,5,No,3
104,54,Female,HR,Divorced,Sales Rep,Sales Rep,Frequently,19,High School,5,21,3,1,5,6,No,17,4,2,0,3,2,2,8,5,No,3
105,34,Female,Other,Single,Manager,Team Leader,Occasionally,28,College,4,59,4,2,3,5,No,11,4,13,2,3,13,13,4,1,Yes,4
106,31,Female,Other,Divorced,Analyst,Data Analyst,Rarely,11,High School,2,72,1,5,4,0,No,15,2,3,2,3,3,3,7,6,Yes,5
107,47,Female,Finance,Single,Analyst,Analyst,Frequently,1,Master,3,26,1,4,3,8,Yes,20,5,4,5,2,4,4,9,5,No,3
108,44,Male,HR,Single,Sales Rep,Sales Manager,Occasionally,20,College,4,65,3,5,2,4,No,16,4,1,5,2,1,1,2,1,Yes,2
109,51,Female,Finance,Single,Marketer,Marketer,Frequently,15,College,2,58,1,3,5,4,No,14,1,1,5,3,1,1,9,10,No,2
110,48,Male,HR,Single,Marketer,Marketer,Frequently,19,Bachelor,5,65,4,5,4,4,No,13,4,3,5,1,3,3,5,3,No,3
111,39,Female,Finance,Divorced,Manager,Team Leader,Frequently,11,High School,2,70,4,4,4,1,No,16,4,20,4,4,20,20,8,3,No,4
112,24,Male,Other,Single,Sales Rep,Sales Manager,Frequently,19,High School,5,32,1,1,5,2,Yes,13,5,4,1,4,4,4,10,3,No,3
113,59,Female,Technical,Divorced,Manager,Team Leader,Frequently,6,Bachelor,1,62,2,1,4,3,Yes,21,2,13,0,1,13,13,8,7,No,5
114,58,Male,HR,Married,Manager,Manager,Rarely,18,Bachelor,1,65,4,1,5,2,No,25,1,16,2,5,16,16,3,5,No,4
115,35,Male,Finance,Married,Analyst,Data Analyst,Rarely,24,Doctor,2,75,2,3,2,1,Yes,10,5,7,0,3,7,7,5,10,No,3
116,25,Male,HR,Single,Marketer,Marketer,Frequently,18,Bachelor,2,50,3,3,3,0,Yes,14,5,6,2,1,6,6,9,3,No,3
117,35,Female,HR,Divorced,Sales Rep,Sales Rep,Rarely,1,High School,3,79,4,5,3,5,No,22,1,2,4,4,2,2,4,2,No,2
118,45,Female,Finance,Divorced,Marketer,Marketer,Frequently,13,College,4,50,2,3,2,6,No,16,1,6,5,4,6,6,0,6,Yes,4
119,46,Female,Other,Single,Analyst,Analyst,Rarely,17,Doctor,5,74,2,2,2,0,No,12,5,3,5,1,3,3,8,6,No,4
120,53,Male,Finance,Divorced,Marketer,Marketer,Occasionally,10,Master,5,64,1,3,1,8,No,10,3,5,2,4,5,5,4,4,No,2
121,34,Female,Marketing,Single,Sales Rep,Sales Manager,Frequently,15,College,3,68,1,4,2,2,Yes,11,4,1,0,2,1,1,9,7,Yes,2
122,28,Female,Technical,Divorced,Manager,Team Leader,Occasionally,2,Bachelor,5,43,3,5,3,5,Yes,11,5,18,3,1,18,18,0,4,Yes,5
123,34,Male,Technical,Single,Marketer,Marketing Manager,Frequently,12,Bachelor,3,55,2,2,5,4,Yes,25,2,1,0,3,1,1,0,5,No,4
124,23,Female,Marketing,Married,Engineer,Engineer,Occasionally,17,Master,4,39,3,1,2,6,No,24,3,7,3,4,7,7,0,3,Yes,3
125,22,Male,HR,Married,Sales Rep,Sales Rep,Frequently,23,High School,2,34,1,5,1,4,No,22,3,3,2,4,3,3,6,3,No,2
126,28,Female,Finance,Single,Sales Rep,Sales Manager,Frequently,14,Bachelor,5,20,2,3,5,4,Yes,23,5,1,5,5,1,1,4,6,No,3
127,31,Female,Technical,Divorced,Marketer,Marketer,Occasionally,16,Master,1,31,1,3,4,2,Yes,13,1,3,2,2,3,3,10,10,No,3
128,42,Male,Finance,Single,Manager,Team Leader,Occasionally,17,Bachelor,3,76,2,4,2,4,No,18,2,6,3,2,6,6,0,4,No,5
129,57,Female,Other,Married,Analyst,Analyst,Frequently,13,Master,5,26,3,1,2,2,Yes,16,5,7,1,2,7,7,6,3,No,3
130,37,Female,Technical,Married,Manager,Manager,Rarely,19,Doctor,1,76,1,4,4,2,Yes,14,4,5,2,4,5,5,5,7,Yes,5
131,51,Male,Technical,Divorced,Analyst,Data Analyst,Occasionally,10,Master,1,28,3,5,3,4,Yes,15,5,2,5,2,2,2,10,6,Yes,5
132,39,Male,Finance,Single,Analyst,Analyst,Occasionally,15,Doctor,1,30,2,1,2,6,Yes,16,3,4,3,1,4,4,7,2,Yes,4
133,43,Male,Other,Married,Sales Rep,Sales Manager,Frequently,13,Doctor,3,21,4,1,1,0,No,14,2,5,3,2,5,5,9,10,No,2
134,54,Female,Marketing,Divorced,Analyst,Data Analyst,Occasionally,26,Doctor,2,49,1,1,5,1,Yes,13,3,4,1,3,4,4,10,6,Yes,5
135,32,Male,Technical,Divorced,Manager,Manager,Frequently,16,Doctor,1,31,4,4,2,5,No,22,3,15,3,1,15,15,10,8,Yes,5
136,45,Male,Technical,Married,Analyst,Analyst,Frequently,10,Master,4,27,3,1,3,6,No,25,4,8,0,1,8,8,6,8,Yes,4
137,40,Female,Finance,Divorced,Analyst,Analyst,Occasionally,3,High School,1,68,1,1,3,2,Yes,16,1,3,5,4,3,3,6,6,No,3
138,38,Male,Finance,Married,Manager,Team Leader,Rarely,5,Doctor,2,69,1,2,3,3,Yes,14,1,19,5,1,19,19,6,5,Yes,4
139,44,Male,Marketing,Married,Marketer,Marketing Manager,Occasionally,1,Bachelor,1,76,1,1,1,3,No,22,4,6,2,2,6,6,2,5,Yes,4
140,48,Male,Marketing,Divorced,Analyst,Analyst,Occasionally,21,Doctor,4,79,3,4,2,2,Yes,16,3,3,1,5,3,3,6,7,Yes,5
141,50,Female,HR,Single,Engineer,Developer,Frequently,28,College,3,57,4,1,5,5,Yes,21,4,8,3,2,8,8,8,10,No,3
142,56,Female,Marketing,Divorced,Marketer,Marketer,Rarely,26,Doctor,5,20,1,1,3,3,Yes,11,1,1,5,4,1,1,8,10,No,4
143,48,Female,Other,Married,Engineer,Engineer,Frequently,2,Bachelor,3,63,4,3,2,7,Yes,19,2,2,4,3,2,2,6,3,Yes,4
144,48,Female,Marketing,Married,Manager,Team Leader,Frequently,16,Master,5,36,4,3,4,0,Yes,22,5,10,3,4,10,10,5,2,No,4
145,33,Female,Other,Single,Sales Rep,Sales Manager,Occasionally,28,Doctor,2,42,3,1,3,6,No,16,2,3,0,4,3,3,10,5,Yes,3
146,42,Male,HR,Married,Engineer,Developer,Occasionally,6,Doctor,2,67,1,1,3,2,No,14,1,4,5,1,4,4,7,7,No,4
147,29,Female,HR,Single,Engineer,Engineer,Occasionally,25,Doctor,5,37,3,4,1,4,No,18,4,2,3,1,2,2,0,5,No,3
148,33,Male,Technical,Married,Analyst,Analyst,Rarely,22,High School,2,62,2,3,1,4,No,21,3,8,2,4,8,8,4,6,No,4
149,51,Female,Marketing,Single,Analyst,Data Analyst,Frequently,24,Bachelor,3,52,2,1,5,2,Yes,23,1,5,3,5,5,5,6,8,Yes,3
150,23,Male,Technical,Single,Marketer,Marketer,Occasionally,5,Bachelor,2,30,2,2,5,1,Yes,10,4,6,1,3,6,6,7,4,No,2
151,59,Female,HR,Married,Sales Rep,Sales Rep,Frequently,12,College,4,62,1,1,1,0,Yes,16,5,2,2,5,2,2,4,4,Yes,3
152,33,Female,Marketing,Divorced,Sales Rep,Sales Manager,Frequently,20,College,3,53,1,4,3,6,Yes,20,2,3,2,1,3,3,5,4,Yes,3
153,40,Female,Finance,Single,Sales Rep,Sales Rep,Frequently,12,Doctor,3,48,1,2,4,0,No,22,1,3,3,1,3,3,9,2,No,2
154,43,Male,HR,Single,Analyst,Data Analyst,Rarely,5,College,1,52,3,1,5,8,No,20,1,2,1,2,2,2,2,5,Yes,5
155,55,Female,Finance,Divorced,Manager,Team Leader,Occasionally,3,Doctor,3,29,1,5,1,2,Yes,25,3,19,4,1,19,19,8,2,No,4
156,48,Female,Other,Divorced,Analyst,Analyst,Frequently,17,High School,1,30,2,2,3,6,Yes,14,5,2,0,3,2,2,4,6,Yes,3
157,36,Male,HR,Married,Manager,Team Leader,Occasionally,25,High School,1,64,4,4,4,7,No,20,4,5,3,2,5,5,8,2,No,5
158,54,Female,Other,Married,Engineer,Developer,Occasionally,16,High School,1,74,1,4,4,7,No,14,5,6,2,2,6,6,8,6,Yes,4
159,32,Male,Other,Divorced,Marketer,Marketing Manager,Frequently,27,College,3,40,3,5,5,0,No,14,1,4,0,3,4,4,5,2,No,4
160,41,Female,HR,Single,Marketer,Marketing Manager,Frequently,19,High School,3,79,1,4,2,7,No,21,4,4,1,3,4,4,3,3,No,4
161,33,Female,Other,Married,Marketer,Marketing Manager,Occasionally,27,Doctor,3,56,3,3,4,1,Yes,13,3,6,1,1,6,6,9,8,Yes,3
162,59,Male,Technical,Divorced,Analyst,Analyst,Frequently,21,Master,1,40,4,3,4,3,No,24,1,6,4,2,6,6,10,3,No,5
163,51,Male,HR,Divorced,Sales Rep,Sales Manager,Rarely,18,College,4,22,3,1,4,1,Yes,18,2,3,3,3,3,3,7,4,Yes,3
164,45,Male,HR,Single,Sales Rep,Sales Rep,Frequently,20,Bachelor,4,57,2,5,3,5,Yes,19,2,5,1,5,5,5,3,9,No,2
165,27,Male,Marketing,Divorced,Sales Rep,Sales Manager,Rarely,14,Master,4,53,2,2,5,4,Yes,11,4,1,0,5,1,1,9,1,Yes,3
166,34,Male,HR,Divorced,Marketer,Marketing Manager,Occasionally,28,Master,5,70,1,3,1,8,Yes,21,2,1,0,1,1,1,8,2,No,4
167,38,Female,Marketing,Married,Engineer,Developer,Rarely,12,Doctor,2,33,4,1,2,7,No,22,4,9,3,3,9,9,9,8,Yes,4
168,35,Female,Marketing,Single,Analyst,Data Analyst,Occasionally,14,High School,1,65,3,5,5,0,No,20,5,3,1,4,3,3,5,4,No,3
169,43,Male,Finance,Married,Analyst,Data Analyst,Frequently,14,Doctor,3,54,2,3,4,7,No,16,2,7,2,2,7,7,3,6,Yes,5
170,54,Male,Technical,Married,Manager,Team Leader,Occasionally,10,College,4,47,1,1,4,8,No,23,5,15,5,5,15,15,6,8,Yes,5
171,56,Female,Technical,Divorced,Engineer,Developer,Frequently,16,Bachelor,1,37,1,1,3,1,Yes,12,3,4,0,2,4,4,9,4,No,3
172,52,Female,Marketing,Single,Engineer,Developer,Frequently,27,Master,5,49,4,2,3,6,No,12,4,5,0,2,5,5,2,1,Yes,3
173,34,Male,Other,Married,Analyst,Data Analyst,Rarely,29,Master,4,31,1,2,3,2,No,19,2,4,4,1,4,4,8,7,No,4
174,32,Male,Technical,Divorced,Manager,Team Leader,Occasionally,30,High School,5,64,2,2,4,4,Yes,19,4,15,4,2,15,15,9,1,No,4
175,60,Female,Technical,Divorced,Engineer,Engineer,Rarely,7,Doctor,3,69,3,2,5,0,No,12,4,6,0,2,6,6,7,2,No,3
176,41,Female,HR,Single,Sales Rep,Sales Manager,Occasionally,26,College,4,79,2,5,5,3,No,21,5,5,5,2,5,5,10,7,Yes,3
177,42,Male,Technical,Single,Manager,Team Leader,Occasionally,4,Bachelor,2,53,3,4,4,8,No,24,1,13,2,4,13,13,0,3,Yes,4
178,38,Female,Finance,Married,Analyst,Analyst,Occasionally,14,Doctor,4,55,1,1,1,3,No,14,3,2,2,3,2,2,1,9,No,3
179,26,Female,Other,Divorced,Engineer,Developer,Occasionally,29,Doctor,4,73,4,5,3,7,Yes,16,5,9,5,5,9,9,8,6,No,4
180,59,Male,Technical,Single,Sales Rep,Sales Manager,Occasionally,5,College,1,77,3,2,1,4,No,17,3,3,0,5,3,3,6,7,Yes,2
